dollár;főnév
csillag;főnév
kérdőjel;főnév
aposztróf;főnév
plusz;melléknév
vessző;főnév
kötőjel;főnév
nulla;számnév
kettő;számnév
három;számnév
négy;számnév
öt;számnév
hét;számnév
nyolc;számnév
kilenc;számnév
pontosvessző;főnév
kukac;főnév
a;rövidítés
aba;abaposztó;főnév
abajdóc;melléknév
abajgat;ige
abdalo;főnév
Abaliget;tulajdonnév;földrajzinév
abarognózis;főnév
abasso;határozó
Abasár;tulajdonnév;földrajzinév
Abaújalpár;tulajdonnév;földrajzinév
Abaújkér;tulajdonnév;földrajzinév
Abaújlak;tulajdonnév;földrajzinév
Abaújszolnok;tulajdonnév;földrajzinév
Abaújszántó;tulajdonnév;földrajzinév
Abaújvár;tulajdonnév;földrajzinév
abba;névmás;határozószó
abbahagy;ige
abbamarad;ige
abbamaradt;melléknév
abbamaradt;melléknév
abban;névmás;határozószó
abbeli;névmás;melléknév
abbizony;határozó
Abbot;tulajdonnév
abbreviatur;főnév
abbreviatúra;főnév
abbreviatúra;főnév
abbreviál;ige
abból;névmás;határozószó
Abbás;tulajdonnév
abbé;főnév
abból;névmás;határozószó
ábécé;abc;főnév
abcúg;indulatszó
abcugol;ige
abcúg;indulatszó
abcúgol;ige
Abda;tulajdonnév;földrajzinév
abdalo;főnév
abderita;főnév
abdesztánmosódás;güzüimosódás;kifejezés
abdikáció;főnév
abdikál;ige
abdikáció;főnév
abdikál;ige
Abdiás;tulajdonnév
abdomen;főnév
abdominális;főnév
abdominocentesis;főnév
abdominális;főnév
abducens;melléknév
abdukció;főnév
ábdál;abdál;ige
Abelárd;tulajdonnév
aberráció;főnév
aberráció;főnév
aberrál;ige
aberrálatlan;melléknév
aberrált;melléknév
abesszin;etióp;főnév
abfall;főnév
abhorreszkál;ige
abhorreszkál;ige
abhortatio;főnév
Abigél;tulajdonnév
abituriens;főnév
abitúrium;főnév
abitúrium;főnév
Abiáta;tulajdonnév
abjudikál;ige
abjudikáció;főnév
abjudikáció;főnév
abjudikál;ige
abjuráció;főnév
abjuráció;főnév
ablak;főnév
ablakbiztosítás;főnév
ablakbélés;főnév
ablakdeszka;főnév
ablakfa;főnév
ablakfiók;főnév
ablakfülke;főnév
ablakhőmérő;főnév
ablakkeret;főnév
ablakkosár;főnév
ablakkönyöklő;főnév
ablakköz;főnév
ablakmosó;főnév
ablakmélyedés;főnév
ablaknyílás;főnév
ablakos;melléknév
ablakoz;ige
ablakpánt;főnév
ablakpárkány;főnév
ablakpárna;főnév
ablakrács;főnév
ablakráma;főnév
ablakrózsa;főnév
ablakszem;főnév
ablakszárny;főnév
ablaktalan;melléknév
ablaktisztító;főnév
ablaktok;főnév
ablaktábla;főnév
ablaktörlő;melléknév
ablakvasalás;főnév
ablaküveg;főnév
ablatio;főnév
ablativus;főnév
ablegátus;főnév
ablegatusabsentium;főnév
ablegál;ige
ablegátus;főnév
ablepharia;főnév
ablúció;főnév
ablúció;főnév
abnegáció;főnév
abnegáció;főnév
abnegál;ige
abnormális;melléknév
abnormitás;főnév
abnormitás;főnév
abnormális;melléknév
Abod;tulajdonnév;földrajzinév
abolicionista;főnév
abolicionizmus;főnév
abolíció;főnév
abolíció;főnév
abominábilis;melléknév
abominábilis;melléknév
abonens;főnév
aboniroz;ige
abonnement;főnév
abonnementsuspendu;kifejezés
abonens;főnév
abonál;ige
abonníroz;ige
Abony;tulajdonnév;földrajzinév
abonál;ige
aboriginal;melléknév
abort;főnév
abortusz;főnév
abortusz;főnév
abortusz;főnév
abortál;ige
aborális;melléknév
Abos;tulajdonnév
abrak;főnév
abrakadabra;mondatszó
abrakol;ige
abrakos;melléknév
abraktakarmány;főnév
abraxas;főnév
abrenunció;főnév
abbreviatio;főnév
abriktol;ige
abriktol;ige
abroncs;főnév
abrissz;főnév
abrogació;főnév
abrogál;ige
abroncs;főnév
abroncsoz;ige
abroncsos;melléknév
abroncsoz;ige
abroncsszoknya;főnév
abroncsvas;főnév
abrosz;főnév
abrupt;melléknév
abruptex;határozó
abrázió;főnév
abrégé;főnév
Absa;tulajdonnév
abscessus;főnév
absence;főnév
abszencia;főnév
abszentizmus;főnév
abszentista;főnév
ablegatusabsentium;főnév
abszentál;ige
abszentáljamagát;kifejezés
abszint;főnév
absitomen;kifejezés
absnicli;főnév
Absolon;tulajdonnév
abszolút;melléknév
abszolúte;határozószó
abszolúció;főnév
abszolutizmus;főnév
abszolutisztikus;melléknév
abszolutórium;főnév
abszolvál;ige
abszorbeál;ige
abszorpció;főnév
absqueullaexceptione;főnév
absqueullaexceptione;főnév
abstand;főnév
abstejgkvartír;főnév
abstejgkvartír;főnév
absztinens;melléknév
absztinencia;főnév
absztinencia;főnév
absztrakt;melléknév
absztraktum;főnév
abstrus;melléknév
